State,State_Short,Year,Total,Number,Percent
Illinois,IL,1984,11649,1753,15
Indiana,IN,1984,5419,697,12.9
Iowa,IA,1984,2876,419,14.6
Kansas,KS,1984,2420,260,10.7
Kentucky,KY,1984,3721,709,19.1
Louisiana,LA,1984,4304,888,20.6
Maine,ME,1984,1167,152,13
Maryland,MD,1984,4106,358,8.7
Massachusetts,MA,1984,5845,519,8.9
Michigan,MI,1984,8962,1495,16.7
Minnesota,MN,1984,4164,381,9.1
Mississippi,MS,1984,2504,628,25.1
Missouri,MO,1984,4958,720,14.5
Montana,MT,1984,836,115,13.8
Nebraska,NE,1984,1608,213,13.3
Nevada,NV,1984,962,101,10.5
New Hampshire,NH,1984,958,68,7.1
New Jersey,NJ,1984,7511,758,10.1
New Mexico,NM,1984,1437,280,19.5
New York,NY,1984,17560,2806,16
North Carolina,NC,1984,5900,860,14.6
North Dakota,ND,1984,683,106,15.4
Ohio,OH,1984,10619,1429,13.5
Oklahoma,OK,1984,3200,426,13.3
Oregon,OR,1984,2593,331,12.8
Pennsylvania,PA,1984,11722,1825,15.6
Rhode Island,RI,1984,946,121,12.8
South Carolina,SC,1984,3258,561,17.2
South Dakota,SD,1984,691,100,14.5
Tennessee,TN,1984,4603,800,17.4
Texas,TX,1984,15639,2448,15.7
Utah,UT,1984,1647,183,11.1
Vermont,VT,1984,514,65,12.6
Virginia,VA,1984,5563,554,10
Washington,WA,1984,4242,479,11.3
West Virginia,WV,1984,1922,392,20.4
Wisconsin,WI,1984,4698,730,15.5
Wyoming,WY,1984,488,53,10.9
Alabama,AL,1983,3950,909,23
Alaska,AK,1983,486,61,12.6
Arizona,AZ,1983,2875,469,16.3
Arkansas,AR,1983,2283,492,21.5
California,CA,1983,25169,3755,14.9
Colorado,CO,1983,3083,390,12.6
Connecticut,CT,1983,3149,276,8.8
Delaware,DE,1983,602,52,8.6
D.C.,DC,1983,604,130,21.5
Florida,FL,1983,10850,1595,14.7
Georgia,GA,1983,5581,1050,18.8
Hawaii,HI,1983,998,129,12.9
Idaho,ID,1983,980,174,17.7
